Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2015,"12        ",Female,17,Right-Handed,168,25,171,1,Car,10,0.361,44,Skateboarding/Rollerblading,1000,882,1000,1000,743,610,24.5,"Right foot",8.3,7.5,"Index finger",December,Summer,,Yes,Desserts,Water,History,7,10,3,"Yes - broadband connection","Text messaging",25,25,8,3,9,8,1,0,9,5,0,2,0,2,"A lot","Graduate degree","Heavy metal","Freeze time",Happy,"Musician or singer","Arts, culture, sports"
USA,CA,2015,"12        ",Female,17,Right-Handed,170,25,166,1,Car,8,.426,32,Dancing,800,700,700,700,300,400,25,"Same length",71,74,"Ring finger",August,Winter,No,No,Desserts,Water,Music,6.5,8,6,"Yes - broadband connection","Text messaging",31,48,30,.75,30,20,10,1,7,16,20,10,2,4.5,"A lot","Undergraduate degree",Pop,"Freeze time",Famous,"Musician or singer","International aid"
USA,WI,2015,"12        ",Male,17,Right-Handed,183," 28",189,1,Car,10,.280,37,Basketball,1000,1000,1000,1000,1000,1000,28,"Same length",79,79,"Same length",June,Summer,Yes,No,Poultry,Water,"Social studies",7,9,4,"Yes - broadband connection","Text messaging",100,100,20,1,11,6,18,1,20,10,28,1,8,1,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,"Community leader or elder","International aid"
USA,MI,2015,"12        ",Male,15,Right-Handed,175,27,170,1,Car,10,.285,38,Swimming,500,400,200,100,1000,1000,27,"Same length",76,70,"Index finger",June,Summer,Yes,No,Meat,Water,English,7,6,3,"Yes - broadband connection","Text messaging",10,10,3,0,4,2,2,6,4,1,20,6,0,4,Some,"Undergraduate degree",Classical,"Freeze time",Happy,Actor,"International aid"
USA,IN,2015,"12        ",Female,17,Right-Handed,160,23,151,1,Car,7,.5,44,Gymnastics,351,380,43,551,800,800,23,"Same length",85,95,"Ring finger",May,Summer,Yes,No,Fruit,Tea,Art,7,11,5,"Yes - broadband connection","Text messaging",105,98,35,10,9,7,5,0,10,11,3,3,20,4,Some,"Undergraduate degree",Pop,Telepathy,Happy,Relative,"International aid"
USA,CO,2015,"12        ",Male,17,Right-Handed,180,24,160.4,1,Car,10,.312,40,Golf,449,406,678,171,800,1000,24,"Same length",,,"Index finger",November,Winter,No,No,Desserts,"Soft drink (caffeinated)","Computers and technology",8,6,4,"Yes - broadband connection","Text messaging",200,200,12,0,15,6,6,20,5,5,10,2,20,5,"Very little","Graduate degree",Other,Telepathy,Happy,Relative,Environment
USA,CA,2015,"12        ",Male,17,Right-Handed,193,34,190,2,Car,5,.738,54,Lacrosse,800,900,720,578,200,999,33,"Right foot",90,86,"Index finger",October,Summer,No,No,Pizza/Pasta,"Sports drink",History,8,10,3,"Yes - broadband connection","Text messaging",80,300,13,1,2,1,6,1,10,10,10,20,1,1,"Very little","Undergraduate degree",Pop,"Freeze time",Happy,"Sports person",Environment
USA,CA,2015,"12        ",Female,17,Right-Handed,153.6,4,6,2,Car,4,.648,50,Baseball/Softball,50,50,70,40,0,1000,4,"Right foot",4,6,"Ring finger",December,Winter,No,No,Seafood,,"Mathematics and statistics",5,1,5,"Yes - other","In person",270,147,8,5,3,0,8,0,0,24,24,1,0,0,"A lot","Some college","Punk rock","Super strength",Rich,"Business person","Wildlife, animals"
USA,AZ,2015,"12        ",Female,17,Right-Handed,68,25,163,1,Car,3,.436,33,Walking/Hiking,52,75,102,11,904,1000,26,"Left foot",7.2,7.7,"Ring finger",October,Summer,No,No,Desserts,Water,History,7,8,5,"Yes - broadband connection","Text messaging",275,500,15,3,12,7,8,0,3,5,5,4,20,0,"A lot",Other,Country,Telepathy,Happy,Politician,Religious
USA,NY,2015,"12        ",Male,18,Right-Handed,165.1,25.4,161,1,Car,4,.419,51,Dancing,1000,1000,775,1000,171,289,24.8,"Right foot",23,24,"Ring finger",November,Fall,No,No,Meat,Water,Music,5,10,3,"Yes - broadband connection","Cell phone",87,232,6,4,10,8,2,2,8,6,8,10,0,2,"A lot","Undergraduate degree",Jazz,"Freeze time",Happy,Actor,"Arts, culture, sports"
